"query","search interest","increase percent"
"o que é dificuldade de aprendizagem",100,"20%"
"aluno com dificuldade de aprendizagem",70,"5%"
"criança com dificuldade de aprendizagem",50,"30%"
"transtorno de aprendizagem",27,"20%"
"dificuldade de aprendizagem e transtorno de aprendizagem",24,"30%"
"relatório de aluno com dificuldade de aprendizagem",20,"-20%"
"relatório aluno com dificuldade de aprendizagem",20,"-20%"
"cid dificuldade de aprendizagem",17,"30%"
"dificuldade de aprendizagem cid",17,"20%"
"dislexia",13,"20%"
"tdah",11,"10%"
"o que é dislexia",9,"40%"
"relatorio de aluno com dificuldade de aprendizagem",8,"-40%"
"discalculia",7,"70%"
"relatorio de aluno com dificuldade",7,"-50%"
"modelo de relatório de aluno",7,"30%"
"modelo de relatório de aluno com dificuldade de aprendizagem",7,"30%"
"disgrafia",5,"60%"
"relatório de alunos com dificuldade de aprendizagem",4,"-20%"
"sinônimo de dificuldade",3,"-1%"
"sinônimo de dificuldade de aprendizagem",3,"-10%"
"relatório individual do aluno",3,"10%"
"dislalia",3,"50%"
"sinonimo de dificuldade",3,"-30%"
"dificuldade sinonimo",3,"-30%"
"relatório individual do aluno com dificuldade de aprendizagem",3,"0%"
"intervenção pedagógica para alunos com dificuldade de aprendizagem",2,"10%"
"diferença entre dificuldade de aprendizagem e transtorno de aprendizagem",2,"-10%"
"parecer descritivo de aluno com dificuldade de aprendizagem",1,"20%"
"relatório de aluno com dificuldade de aprendizagem 4 ano",1,"20%"
"unifatecie",1,"20%"
"relatório de aluno com dificuldade de aprendizagem 5 ano",1,"-70%"